username,password,firstName,lastName,email,phoneNumber,favoriteTeam
ksevitt0,C9OdIbKbLST,Karlotte,Sevitt,ksevitt0@wp.com,8431730705,Heracles Almelo
dshipsey1,msFKY354Qmx8,Darlleen,Shipsey,dshipsey1@slate.com,7669147370,Rio Ave
bblare2,jzHCZwc,Blinny,Blare,bblare2@ft.com,6852665725,Metz
lpetrelli3,lwTfgMnm6N,Lyndsie,Petrelli,lpetrelli3@dyndns.org,7498319565,Arsenal Tula
ffeeham4,Lorr68r,Frederico,Feeham,ffeeham4@jalbum.net,4331714889,Mallorca
rthunnercliff5,gQvT66ctOjbc,Renault,Thunnercliff,rthunnercliff5@ucoz.com,1699988141,Benfica
gconaghy6,2sPrMwPzIv,Glenn,Conaghy,gconaghy6@uol.com.br,7102253349,Granada
etommasuzzi7,V461IV,Erek,Tommasuzzi,etommasuzzi7@nih.gov,8178215736,Valladolid
jmochar8,m6zJKCT,Jo,Mochar,jmochar8@drupal.org,5837396542,Gent
hmuckley9,zqbYzdPml7TX,Hinda,Muckley,hmuckley9@pcworld.com,4121755319,Mouscron
kkemmisha,oJEiP5,Katherine,Kemmish,kkemmisha@vinaora.com,5249115869,Lecce
htrevanceb,LtVZRGIof,Hinda,Trevance,htrevanceb@google.ca,7829662580,Parma
mpennonic,gaOUNR8,Molli,Pennoni,mpennonic@squidoo.com,5212287071,Angers
jabrahmd,QEB9RIe,Juliana,Abrahm,jabrahmd@theguardian.com,3472770576,Genk
jivantsove,qT6RZXoCDsVv,Joseito,Ivantsov,jivantsove@wikimedia.org,1186657276,VfL Wolfsburg
lmurtaghf,Kk2jKr,Laurene,Murtagh,lmurtaghf@tinypic.com,2318455832,Groningen
uhorderg,qNw0lsmzzxZ,Ursulina,Horder,uhorderg@taobao.com,7836364077,Eibar
hkitchinghamh,ZHxorO,Hillary,Kitchingham,hkitchinghamh@state.gov,9203602632,Borussia Monchengladbach
vmoseleyi,xlgjCYN,Vidovic,Moseley,vmoseleyi@vk.com,8895804595,Real Betis
thookj,leAPpjQo1q0C,Tamiko,Hook,thookj@pagesperso-orange.fr,6656326699,Saint-Etienne
ctaffarellok,9OZeO2a9eT,Conrad,Taffarello,ctaffarellok@sitemeter.com,3078325105,Santa Clara
iguerolal,4shXFR,Irving,Guerola,iguerolal@oaic.gov.au,4005917951,Atletico Madrid Madrid
rheartm,WUXzx09RdT,Rene,Heart,rheartm@tumblr.com,8206882402,CSKA Moscow
dwinsern,y7ImxEFt,Dolley,Winser,dwinsern@wp.com,5668537535,Bordeaux
cbealo,IZZok1E9fTQl,Collin,Beal,cbealo@bandcamp.com,7505841496,Espanyol
bdulintyp,QWa7NW83uG,Butch,Dulinty,bdulintyp@photobucket.com,4573579947,Milan
bkirkbrideq,RvaCeVsXd4W,Beauregard,Kirkbride,bkirkbrideq@dmoz.org,4278523207,Nimes
dtebbothr,avpHDXYOiBL,Danice,Tebboth,dtebbothr@seesaa.net,4571825910,Vitoria de Setubal
nheggisons,cdNotff9rMA,Nolan,Heggison,nheggisons@symantec.com,4703142141,Internazionale
gpeasgoodt,DgeyVy,Guglielma,Peasgood,gpeasgoodt@seattletimes.com,9224382022,Sassuolo
csokellu,So9aoNnkoIbK,Carmella,Sokell,csokellu@tumblr.com,9933780406,Levante
jlillicropv,Oqn8pmFysD,Jereme,Lillicrop,jlillicropv@hp.com,5257852247,Gil Vicente
spybworthw,5ZroOFU,Stinky,Pybworth,spybworthw@reference.com,3783835705,Zulte Waregem
rlosebiex,vQXxAf6,Rolph,Losebie,rlosebiex@cocolog-nifty.com,6731967743,Mechelen
sbeaty,WsyIv18gA,Shane,Beat,sbeaty@bloomberg.com,1591935194,Hertha BSC
khastewellz,NnbfMu,Kiel,Hastewell,khastewellz@ycombinator.com,9919421543,Sheffield United
carmstrong10,BwidRe7RK32e,Candra,Armstrong,carmstrong10@usatoday.com,6572222753,Krylia Sovetov
javery11,2vHmFGZR0IO,Jenn,Avery,javery11@blogtalkradio.com,9768440086,Standard Liege
bweldrick12,wfu8qcaBl,Bob,Weldrick,bweldrick12@trellian.com,5265945031,Juventus
ibuck13,SANAK7N,Ivy,Buck,ibuck13@nytimes.com,8549059267,Southampton
kgateshill14,pAXQlRWM,Kendricks,Gateshill,kgateshill14@facebook.com,2067831281,Toulouse
dpratton15,rRyQgeE,Danya,Pratton,dpratton15@goo.gl,4909394010,Famalicao
wscrogges16,lNLP0LPygkcI,Wiatt,Scrogges,wscrogges16@craigslist.org,4601971983,Borussia Monchengladbach
jratley17,jusfGD,Joela,Ratley,jratley17@merriam-webster.com,6877684675,Real Betis
jhayles18,Cdf8BH,Janene,Hayles,jhayles18@deliciousdays.com,6725187180,Saint-Etienne
csteers19,uIPfUSkBQvKO,Cristen,Steers,csteers19@elegantthemes.com,3425358711,Santa Clara
fpittendreigh1a,aDQBqyNVk,Farica,Pittendreigh,fpittendreigh1a@phoca.cz,3081067544,Atletico Madrid Madrid
sarrighini1b,cbgTi9,Sharla,Arrighini,sarrighini1b@hostgator.com,4504000233,CSKA Moscow
tmuselli1c,Iph255,Terrie,Muselli,tmuselli1c@issuu.com,1548674655,Bordeaux
rsamuel1d,oVieXQtlO,Remy,Samuel,rsamuel1d@elpais.com,7315679451,Espanyol
nlangworthy1e,SKDcAu6YAbv,Ninnette,Langworthy,nlangworthy1e@stanford.edu,7561012620,Milan
btoor1f,HcMBiCDnf0,Britni,Toor,btoor1f@nature.com,2726321139,Nimes
cmccuffie1g,Wlss3UinSg,Carolee,McCuffie,cmccuffie1g@cbslocal.com,3116837169,Vitoria de Setubal
mblown1h,9w3PlSh,Marcellus,Blown,mblown1h@npr.org,2377565205,Internazionale
dparratt1i,eOPUGYs,Daloris,Parratt,dparratt1i@addthis.com,3666196168,Sassuolo
iimesson1j,x7mQ3X16Y,Ingram,Imesson,iimesson1j@dmoz.org,8182278117,Standard Liege
klatour1k,x14UfL8I4,Katie,Latour,klatour1k@sciencedirect.com,6468468002,Juventus
fjerratsch1l,682vfYR0R,Francklyn,Jerratsch,fjerratsch1l@about.com,2147209424,Rennes
eolliff1m,5f22oTmG,Emmott,Olliff,eolliff1m@pcworld.com,8189339383,Arsenal
cmcnirlan1n,ledHDrF1,Cookie,McNirlan,cmcnirlan1n@cpanel.net,9617928798,SPAL
hdalli1o,kN7ll1,Heddi,Dalli,hdalli1o@marketwatch.com,4394001503,Burnley
mdallinder1p,j8q8GlyE2,Marga,Dallinder,mdallinder1p@vinaora.com,1505095828,Eupen
msmogur1q,pVc9h3DDw1PX,Mychal,Smogur,msmogur1q@google.cn,4309144823,Fortuna Sittard
dalday1r,cLHES6eoU,Dianemarie,Alday,dalday1r@odnoklassniki.ru,2654066395,FC Koln
hshallo1s,9ZWZNERdbEW,Hillyer,Shallo,hshallo1s@xinhuanet.com,6192809853,Willem II
obrandenberg1t,ydL8Q7WRI,Orelia,Brandenberg,obrandenberg1t@sina.com.cn,2903106209,Kortrijk
ljobbings1u,nETcpw4Qf,Lyman,Jobbings,ljobbings1u@t-online.de,5569481443,Rostov
tlewknor1v,t1efFe,Towny,Lewknor,tlewknor1v@yahoo.com,9638096978,VVV-Venlo
rspykins1w,iDbRCjxIWaE,Rhiamon,Spykins,rspykins1w@amazon.com,7543567831,Cagliari
acamois1x,sUYbiU,Angel,Camois,acamois1x@dmoz.org,1526230014,Heerenveen
dmcmeekan1y,9CoEqFwHatkc,Dalton,McMeekan,dmcmeekan1y@yale.edu,7101144443,Sochi
hrosnau1z,0SrDV7VR,Halimeda,Rosnau,hrosnau1z@purevolume.com,5196810120,Boavista
bconibear20,BSOEtj,Bill,Conibear,bconibear20@people.com.cn,9041788339,Vitoria de Guimaraes
skhristyukhin21,IIwy056uNyG,Sharia,Khristyukhin,skhristyukhin21@twitpic.com,6692364078,Union Berlin
btoffalo22,yLeHtbKof,Brittni,Toffalo,btoffalo22@plala.or.jp,1803477819,Bologna
cdhooghe23,PnpmaP,Currie,D'Hooghe,cdhooghe23@angelfire.com,4478962865,Schalke 04
ttonbye24,kUJuLh,Tadeo,Tonbye,ttonbye24@xrea.com,4634388804,Fiorentina
tprobets25,ffIOm2J5Nk7,Tallulah,Probets,tprobets25@salon.com,4604327666,Vitesse
hdonativo26,p0Aupx,Howie,Donativo,hdonativo26@trellian.com,7519515369,Anderlecht
lbowart27,ZvZ09fEfA,Lilah,Bowart,lbowart27@webeden.co.uk,1441911009,Manchester United
