name,date,meetupName
Karlotte Sevitt,2019-11-14,Arsenal Fan Party          
Darlleen Shipsey,2019-12-15,Barcelona Fan Party        
Blinny Blare,2019-10-04,Bayern Munich Fan Party    
Lyndsie Petrelli,2019-11-27,Chelsea Beer Garden        
Frederico Feeham,2019-11-24,Juventus Fan Party         
Renault Thunnercliff,2019-07-21,Liverpool Beer Garden      
Glenn Conaghy,2020-02-02,Manchested United Pub Crawl
Erek Tommasuzzi,2020-03-10,Napoli Pizza Party         
Jo Mochar,2020-01-07,PSG Fan Party              
Hinda Muckley,2019-12-03,Real Madrid Fan Party      
Katherine Kemmish,2019-12-09,Tottenham Pub Crawl        
Hinda Trevance,2019-11-14,Arsenal Fan Party          
Molli Pennoni,2019-12-15,Barcelona Fan Party        
Juliana Abrahm,2019-10-04,Bayern Munich Fan Party    
Joseito Ivantsov,2019-11-27,Chelsea Beer Garden        
Laurene Murtagh,2019-11-24,Juventus Fan Party         
Ursulina Horder,2019-07-21,Liverpool Beer Garden      
Hillary Kitchingham,2020-02-02,Manchested United Pub Crawl
Vidovic Moseley,2020-03-10,Napoli Pizza Party         
Tamiko Hook,2020-01-07,PSG Fan Party              
Conrad Taffarello,2019-12-03,Real Madrid Fan Party      
Irving Guerola,2019-12-09,Tottenham Pub Crawl        
Rene Heart,2019-11-14,Arsenal Fan Party          
Dolley Winser,2019-12-15,Barcelona Fan Party        
Collin Beal,2019-10-04,Bayern Munich Fan Party    
Butch Dulinty,2019-11-27,Chelsea Beer Garden        
Beauregard Kirkbride,2019-11-24,Juventus Fan Party         
Danice Tebboth,2019-07-21,Liverpool Beer Garden      
Nolan Heggison,2020-02-02,Manchested United Pub Crawl
Guglielma Peasgood,2020-03-10,Napoli Pizza Party         
Carmella Sokell,2020-01-07,PSG Fan Party              
Jereme Lillicrop,2019-12-03,Real Madrid Fan Party      
Stinky Pybworth,2019-12-09,Tottenham Pub Crawl        
Rolph Losebie,2019-11-14,Arsenal Fan Party          
Shane Beat,2019-12-15,Barcelona Fan Party        
Kiel Hastewell,2019-10-04,Bayern Munich Fan Party    
Candra Armstrong,2019-11-27,Chelsea Beer Garden        
Jenn Avery,2019-11-24,Juventus Fan Party         
Bob Weldrick,2019-07-21,Liverpool Beer Garden      
Ivy Buck,2020-02-02,Manchested United Pub Crawl
Kendricks Gateshill,2020-03-10,Napoli Pizza Party         
Danya Pratton,2020-01-07,PSG Fan Party              
Wiatt Scrogges,2019-12-03,Real Madrid Fan Party      
Joela Ratley,2019-12-09,Tottenham Pub Crawl        
Janene Hayles,2019-11-14,Arsenal Fan Party          
Cristen Steers,2019-12-15,Barcelona Fan Party        
Farica Pittendreigh,2019-10-04,Bayern Munich Fan Party    
Sharla Arrighini,2019-11-27,Chelsea Beer Garden        
Terrie Muselli,2019-11-24,Juventus Fan Party         
Remy Samuel,2019-07-21,Liverpool Beer Garden      
Ninnette Langworthy,2020-02-02,Manchested United Pub Crawl
Britni Toor,2020-03-10,Napoli Pizza Party         
Carolee McCuffie,2020-01-07,PSG Fan Party              
Marcellus Blown,2019-12-03,Real Madrid Fan Party      
Daloris Parratt,2019-12-09,Tottenham Pub Crawl        
Ingram Imesson,2019-11-14,Arsenal Fan Party          
Katie Latour,2019-12-15,Barcelona Fan Party        
